"","CVE_INEGI","state_code","mun_code","year","CORR_COUNT","INFRA_COUNT","state","sujeto","internal_audit","state_gov_audit","otro_state","ASE","ASF","SFP","otro_fed","otro","state_abbrv","reform_ley_anticorr","man_1.1","man_1.2","man_1.3","man_1.4","pol_2.1","pol_2.10","pol_2.2","pol_2.3","pol_2.4","pol_2.5","pol_2.6","pol_2.7","pol_2.8","pol_2.9","str_3.1","str_3.2","str_3.3","fin_4.1","leg_5.1","leg_5.2","int_6.1","int_6.2","int_6.3","int_6.4","int_6.5","int_6.6","int_6.7","reform_year_imco","ASE_binary","internal_audit_binary","ASF_binary","CORR_binary","INFRA_binary","total_muns","total_muns_subj","ID_ENTIDAD","pob_mun","idh","pea","indice_marginacion","impuestos_muni","egresos_muni","lag_impuestos_muni","lag_egresos_muni"
"46","20100",20,100,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,497,0.7074,193,0.7393,816,4133791,816,2656781
"47","20074",20,74,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,505,0.7509,63,0.4172,1148,2721140,1148,2317372
"48","20093",20,93,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,505,0.7709,157,-0.0513,10830,1677822,9420,2499981
"49","20354",20,354,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,510,0.6302,147,2.263,9772.5,4080221,17305,3213982
"50","20552",20,552,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,510,0.7681,132,0.1183,5050,2273191,2100,2321372
"51","20416",20,416,2010,0,0,"Oaxaca","subject",1,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,570,89,20,516,0.7064,261,0.9926,5420,2677369,6723,2881321
"52","20035",20,35,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,544,0.843,234,-1.3392,400,2189624,2782,2143256
"53","20423",20,423,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,550,0.7329,224,0.8595,1979.38461538462,2382530,1747.61538461538,2962847
"54","20493",20,493,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,553,0.796,210,-0.2025,19585,2150562,38149,1942885
"55","20419",20,419,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,575,0.7606,221,-0.516,34605,2597735,24835,2859878
"56","20062",20,62,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,586,0.8046,222,-0.5581,11953,2220068,17216,2042204
"57","21135",21,135,2010,0,0,"Puebla","subject",0,0,0,1,0,0,0,0,"PUE",2016,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,217,110,21,586,0.7532,204,0.5735,65196,7479352,65196,7479352
"58","20186",20,186,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,605,0.7537,180,0.4455,19868,2039676,22855.5,2216980
"59","20218",20,218,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,607,0.689,180,1.3243,21380,2545326,16589,2428419
"60","20383",20,383,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,608,0.7648,193,0.1971,95589,2685206,37963,2701969
"61","20288",20,288,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,611,0.7607,145,0.7201,2040,2923325,4740,1358090
"62","20461",20,461,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,614,0.7202,250,1.3458,9226,3560673,5135,3275265
"63","20246",20,246,2010,0,0,"Oaxaca","subject",0,1,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,620,0.7169,203,0.7526,2845,1943654,2845,2585644
"64","26007",26,7,2010,0,0,"Sonora","subject",2,2,2,2,2,2,2,2,"SON",2017,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,72,70,26,625,0.8261,197,-1.2631,44974,9389174,120545,5864058
"65","21133",21,133,2010,0,0,"Puebla","subject",27,11,0,1,0,0,0,0,"PUE",2016,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,217,110,21,651,0.7513,203,-0.0035,29212,6676564,23042,6406050
"66","20121",20,121,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,655,0.7349,200,0.3585,4970,2571603,5800,3042496
"67","20463",20,463,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,663,0.7712,222,0.7344,19438,3636096,16498,2570583
"68","20114",20,114,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,677,0.7677,242,0.5182,13855,3025563,13702,4155589
"69","20122",20,122,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,677,0.8006,271,-0.3193,2341,2813340,11120,2084967
"70","20370",20,370,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,679,0.7594,268,0.1222,16468,3692118,16582,3154278
"71","20422",20,422,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,681,0.7539,194,0.3995,31055,2980851,38305,2772905
"72","20224",20,224,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,684,0.7815,252,-0.2695,13294,2739166.66666667,16989,2662862.33333333
"73","20538",20,538,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,705,0.7599,166,0.7003,14698.3333333333,4881928.33333333,16020.6666666667,4261120.66666667
"74","20209",20,209,2010,0,0,"Oaxaca","subject",0,1,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,711,0.6983,243,1.2005,13266,6365883,14649,6942722.5
"75","20199",20,199,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,713,0.6542,178,1.7063,5254.25,2969733.25,4629.5,3067227.5
"76","20204",20,204,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,715,0.7759,329,-0.0433,10160,2293296,5220,1909278.5
"77","20320",20,320,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,723,0.7204,120,0.2992,3843,2252930.5,3843,2150960
"78","20101",20,101,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,726,0.6919,204,1.2175,9923.66666666667,3283826.66666667,7521.33333333333,3160850.33333333
