"","ID_ENTIDAD","year","m_total_egresos","m_poblacion","m_legislativo","m_pres_poder_leg","m_ase_budget","m_por_efs","ase_budget_perc","ase_growth"
"113",11,2011,24.7209969917352,15.5310786298045,475249722.999995,441016207.36664,83927201.2800884,0.327152579838187,0.176596002519057,0.0396052743901353
"114",11,2012,24.7539134640114,15.5442049089523,394664577.000007,414480318.906039,85803546.8673697,0.290404347683406,0.217408786771781,0.0223568230402381
"115",11,2013,24.9166542151797,15.5571611188619,388440012.999988,459534311.362313,160160151.259566,0.3486540755139,0.41231630599181,0.866591266991941
"116",11,2014,25.0426589892236,15.5699516101925,455596911.999998,512242859.549886,68035720.0574391,0.125603014187123,0.149333145737913,-0.575201949284027
"117",11,2015,25.1222338428683,15.5825805687636,645997440.999987,614880970.091488,118863552.047938,0.22688756673353,0.184000035455157,0.747075682414878
"118",11,2016,25.1782705207362,15.5843453242159,701104546.000003,635653060.000018,185002278,0.29104285,0.26387259796772,0.556425622594449
"119",11,2017,25.2086485988594,15.5919609403341,668592142.000024,670901264.399985,188650081.000009,0.281189038,0.282160182791981,0.0197176112610307
"120",11,2018,25.2590005775226,15.5992523898316,711051639.99998,704446818.999977,194407374.999998,0.275971684,0.273408236566339,0.0305183754465964
"121",11,2019,25.2017522359218,15.6358118075881,720430949.999984,892331924.999977,194407374.999998,0.217864417,0.269848727348543,0
"122",12,2009,24.310265565418,15.0196997788705,385627190.000007,380142785.314061,66372835.47483,0.264940000904087,0.172116586164033,NA
"123",12,2010,24.4070946655971,15.035976991474,400897870.00001,384392043.743343,83154005.2804825,0.259708446431587,0.207419424005621,0.252831895542813
"124",12,2011,24.5031694170263,15.0444680102829,500357967.999979,489981938.190356,66730509.6093542,0.191214843850914,0.13336553802888,-0.197506970538955
"125",12,2012,24.6048049793694,15.0528875382951,614122836.000013,520920753.414155,80944549.5065118,0.239353247062517,0.131805145097243,0.213006613921694
"126",12,2013,24.6480113075085,15.0612367693111,580016268.999975,489841412.723976,85076665.3860109,0.176007677515959,0.146679791469806,0.0510487229182333
"127",12,2014,24.7725209001582,15.0695168674765,740830061.999969,577359199.871111,111108172.717135,0.263577896656138,0.149977948272218,0.305977052732544
"128",12,2015,24.7410964487484,15.0777289682559,630082977.99999,549826368.453879,81070176.2141502,0.219728222983473,0.128665872662491,-0.270349118056845
"129",12,2016,24.8474794478903,15.0931765991317,626810870.999983,526380999.999977,97393399.9999952,0.185024535,0.15537924516947,0.201346839838199
"130",12,2017,24.8931121834682,15.0984451106762,655355928.000002,560105899.999987,99364200.0000028,0.177402523,0.151618678880711,0.0202354574335396
"131",12,2018,24.9964881032728,15.1033758806928,733218343.000014,609313300.000014,106319700.000005,0.174491021,0.1450041464661,0.0700000603839395
"132",12,2019,24.959420747605,15.1085854023201,665554738.000025,644639299.999978,120040900.000004,0.186214058,0.180362174808827,0.129056045116741
"133",13,2009,24.0399866494773,14.7714516030081,175678481.999995,173602233.14528,31989656.400515,0.339833474380045,0.182092058380353,NA
"134",13,2010,24.0336873468643,14.7957213697807,165623003.000003,159818884.958044,32082999.1122392,0.318371444062367,0.193711009528299,0.00291790291697688
"135",13,2011,24.1843957560016,14.8101266591148,175395874.999996,169715304.789806,41118778.512987,0.358302468642647,0.234434125163935,0.281637616518863
"136",13,2012,24.3517645968349,14.8243273794761,183328783.999992,158398725.448446,60659175.1818165,0.390857607691908,0.330876438812898,0.475218315705994
"137",13,2013,24.3980577656777,14.8383292597563,242269384.000008,172875465.276042,69219572.1134505,0.408858451180181,0.285713246018111,0.141122870628813
"138",13,2014,24.4018428087236,14.8521377915127,255226359.000009,186301140.040499,49328624.6502175,0.364537500542732,0.193274020925933,-0.287360162103166
"139",13,2015,24.5549139453956,14.8657582418997,259104764.000006,195092960.720373,110190026.134821,0.432528716566599,0.425272096250683,1.23379481824525
"140",13,2016,24.5540563718822,14.8847463589805,288974138.000014,217690656.000003,87862615.9999978,0.403612252,0.304050101535362,-0.202626416546129
"141",13,2017,24.5929823639281,14.8963680095419,257136080.99999,222971553.999991,91978762.0000032,0.412513437,0.357704611668274,0.0468475238661857
"142",13,2018,24.6439090736909,14.9076124180422,244721483.000004,235856069.999997,103366358.999997,0.43826033,0.4223836736066,0.123806808793461
"143",13,2019,24.7170179428942,14.9308881862983,315321111.999988,311774462.000001,96880920.9999966,0.3107404,0.307245272558852,-0.0627422506001244
"144",14,2009,25.0304652398633,15.7938834994154,739000000.000019,676382688.399666,140418191.892321,0.241887183622681,0.190011085104624,NA
"145",14,2010,25.0159304817627,15.810303656,761169999.999986,736897550.704275,77258612.0035634,0.196799292390607,0.101499812136008,-0.449796276661868
"146",14,2011,25.0835561292554,15.8236590311598,761169999.999986,741095285.069887,114641381.500919,0.237139984868939,0.150612059725057,0.483865403841734
"147",14,2012,25.1346239314681,15.8368383884765,818501399.999968,744206095.887685,114980327.979927,0.212450853512915,0.140476641799185,0.002956580552065
"148",14,2013,25.2203070804837,15.8498463073334,858019000.000003,813279636.14929,156873547.508413,0.246742719470555,0.182832253724465,0.364351191760379
"149",14,2014,25.227416791772,15.8626871906964,917273857.000037,824202809.180628,120330888.346401,0.208817992897406,0.131183165668697,-0.232943410424579
"150",14,2015,25.2960084085518,15.8753652740611,949208705.000027,879191304.048088,150954278.313755,0.222737699776455,0.159031704533042,0.254493176175996
"151",14,2016,25.3591224231014,15.8977209022201,992137994.999953,977836646,286508028.000001,0.293001934,0.288778405266109,0.897978852937838
"152",14,2017,25.4443862725887,15.9087246428893,1000458646.00002,1005361389.00004,293292913.000004,0.291728841,0.293158457046308,0.0236813085042187
"153",14,2018,25.4728398368566,15.9193377268266,1003165575.00004,1002621096.00005,298213716.000005,0.297434113,0.297272677045356,0.0167777766931606
"154",14,2019,25.6309628527246,15.9348696853099,1074838872.02055,997060128.99997,297160129.000013,0.298036317,0.276469466015305,-0.00353299309677346
"155",15,2009,25.7518253003696,16.5196992195772,1173083399.99997,1074863561.17654,370483776.354996,0.389829853264152,0.315820491838011,NA
"156",15,2010,25.8687297349247,16.5352166972504,1243886099.99995,1220495162.7882,302096451.322085,0.290452918512704,0.24286504312742,-0.184589257067446
"157",15,2011,25.9410666483229,16.5484622083855,1315923099.99999,1401025551.46825,325913865.882992,0.293516534027333,0.247669385758936,0.0788404314472165
"158",15,2012,26.0245663435044,16.5615345669513,1371074999.99996,1349336796.47696,342474319.756834,0.296993145304064,0.249785255917324,0.050812363656194
"159",15,2013,26.1150113374519,16.574438241683,1412140700.00001,1645963603.92074,375913224.462203,0.264300910091781,0.26620097024482,0.0976391594240156
"160",15,2014,26.2789511799684,16.5871775305233,1536928699.99993,1438269699.29977,319671901.186335,0.293464618542176,0.207993969522692,-0.149612515910631
"161",15,2015,26.2291861572348,16.5997565692164,1541387399.99994,1544416365.13904,360339464.470712,0.255032968087746,0.233776054268204,0.12721657153305
"162",15,2016,26.3428464427917,16.6556717567409,1586642600.00005,1581251406.00005,177156330.999992,0.112035525,0.111654843378078,-0.508362673346896
"163",15,2017,26.3966356354271,16.6698743789213,1675935500.00003,1679590944.99997,210544910.000008,0.125354873,0.125628289394195,0.188469578318472
"164",15,2018,26.5616510434716,16.6836718755744,1813406600.00003,1817061994.99997,234999253.000005,0.129329243,0.129589940281458,0.116147870779663
"165",15,2019,26.4970786124146,16.6630647551329,1844998269.42542,1508265749.00001,227237206.000005,0.150661252,0.123163912815362,-0.0330300922275685
"166",16,2009,24.512539325874,15.2680710564081,444061009.000006,406337735.141757,113367947.412821,0.320231726059579,0.255298134975006,NA
"167",16,2010,24.6011395006911,15.2859247654589,482903525.000006,490102027.266695,71039946.7015292,0.21986515899857,0.147110018924646,-0.373368325679898
"168",16,2011,24.7076326822716,15.2965976468515,610155883.000013,539179883.806993,98126227.7471325,0.272758523141796,0.160821571144518,0.381282395374043
"169",16,2012,24.6889847532292,15.307157819713,606875586.000019,577050138.136654,80311511.604837,0.204578751827485,0.132336039638995,-0.181548975756037
"170",16,2013,24.7844009106688,15.3176076396548,655959999.999988,685220622.539518,97332977.5191682,0.215787554081748,0.148382489052945,0.211943039972691
"171",16,2014,24.84607654842,15.3279493892027,698456999.999994,735000925.991972,84579495.789825,0.155910367951649,0.121094778618907,-0.131029400871166
"172",16,2015,24.8622764467366,15.3381852807895,809103002.00002,678639776.259817,77476534.2110528,0.171176450115818,0.0957560829950435,-0.0839797105958466
"173",16,2016,24.949797312083,15.3476141021604,881134999.999957,802999999.999971,115990091.770735,0.185225983237344,0.131637140473073,0.497099643806577
"174",16,2017,24.997557983666,15.3541309521126,899565079.000032,897390000.000005,149996315.401442,0.171130418062901,0.166743150554687,0.293182142643034
"175",16,2018,25.1046022785543,15.3603481926872,984436830.000012,984436830.000012,169128604.377849,0.206403242081016,0.171802394245903,0.12755172635543
"176",16,2019,25.1050268078098,15.3824536190998,923814304.999961,923814302.999996,150542066.000003,0.162957063,0.162957063108055,-0.109895889262601
"177",17,2009,23.6558310751128,14.3718990867536,254616000.000012,245732270.162785,22198733.9420543,0.181251448679773,0.0871851491738668,NA
"178",17,2010,23.6959263935486,14.390564842366,298177000.000013,244031169.073344,23801445.7083372,0.149229566602845,0.0798232114091165,0.0721983411516376
"179",17,2011,23.8887969172729,14.4047094474299,355022000,297105331.810974,42347943.2845394,0.210341091540967,0.119282588922769,0.779217271230956
"180",17,2012,23.7602524275558,14.4186567698827,421387289.999989,372797495.241977,30894262.2099106,0.142053165568256,0.0733156005011718,-0.270466053042305
"181",17,2013,23.9176505348456,14.4324122373283,411440538.999988,448052607.931783,44597206.7519188,0.132564782633861,0.108392835718894,0.443543349535384
"182",17,2014,23.9886752628118,14.4459810564215,397142382.999985,412660691.662854,23108120.0301399,0.0565306072900932,0.058185983212325,-0.481848265549823
"183",17,2015,24.064084293827,14.4593682247005,470915541.000011,445514426.87384,54485575.6275578,0.131317702453525,0.115701375053062,1.35785410308119
"184",17,2016,24.1367807658549,14.4797665304671,554292438.000012,454753999.999999,4754000.00000011,0.010454004,0.00857670008480255,-0.912747549323942
"185",17,2017,24.2087265292398,14.4912504693059,430510000.000003,468500000.000022,18500000.0000008,0.039487727,0.0429722886808685,2.89145982330677
"186",17,2018,24.2149793924163,14.5024363069914,427500000.000005,418499999.999999,18500000.0000008,0.044205496,0.043274853801171,0
"187",17,2019,24.1731838654411,14.5198785491048,468500000.000022,468500000.000022,18500000.0000008,0.039487727,0.03948772678762,0
"188",18,2009,23.4209453945385,13.8718152741747,191947783,199437064.921219,23455284.4061891,0.162564940688169,0.122196172519425,NA
"189",18,2010,23.4956390090194,13.8970711899307,230822720.000007,219604103.598302,27288248.0173619,0.213514180476426,0.118221672534494,0.163415780631568
"190",18,2011,23.5927404081648,13.9146254905085,232551893.00001,231651622.493375,20793214.1636406,0.139285621727581,0.0894132225517496,-0.238015787953442
"191",18,2012,23.7653521886775,13.9318769462049,248368507.999993,252686550.977515,39162196.4401547,0.20051751288244,0.157677785946018,0.883412354239802
"192",18,2013,23.6680603893103,13.9488358293473,265436403,246664111.605285,20400209.7158306,0.129551779186524,0.0768553577627808,-0.479084127801539
"193",18,2014,23.8650772492638,13.9655118983196,266168794,279560681.066975,50075972.7717046,0.215754690089598,0.188136152323344,1.45467931306831
