"","ID_ENTIDAD","year","m_total_egresos","m_poblacion","m_legislativo","m_pres_poder_leg","m_ase_budget","m_por_efs","ase_budget_leg_perc","ase_budget_sta_perc","ase_budget_pc","ase_growth","ase_pct_change","ase_growth_pc"
"100",10,2009,21901043008.0009,1608170.60000002,154353214.000006,135328704.317465,40196358.2831285,0.347994018971419,0.260418019433836,0.00183536273904599,24.9950834091407,NA,NA,NA
"101",10,2010,20196348387.0003,1632933.99999996,171446289.000008,156487621.595715,29702138.3918024,0.253330213354927,0.173244568692887,0.00147066874776832,18.1894298188433,-0.261073896729862,-26.1073896729862,-0.272279691125518
"102",10,2011,22398797868.0009,1657298.00000002,191328847.999992,175897221.586903,23141747.4413342,0.187345034589631,0.120952734954716,0.00103316917174357,13.9635403176339,-0.22087268141875,-22.087268141875,-0.232326661324569
"103",10,2012,22899907086.9993,1681661.99999999,263848709.000002,219146909.202386,30895107.4783965,0.270797251714796,0.117094025570526,0.00134913680483604,18.3717699980119,0.335037795080838,33.5037795080838,0.315695703245909
"104",10,2013,26207301489.0004,1706026.00000003,206317445.999992,223010844.290416,42537318.3822862,0.263846697890617,0.206174122484475,0.00162310943765576,24.9335698179779,0.376830244466074,37.6830244466074,0.357167535881191
"105",10,2014,29713311561,1730390.00000008,202741948.000008,207577071.146213,39101410.768235,0.238189681511699,0.192862952901259,0.00131595600470051,22.5968774485713,-0.0807739590721828,-8.07739590721829,-0.093716719525727
"106",10,2015,33969290889.0014,1754754.00000006,210513843.999991,226700104.46591,51449671.0886209,0.266320965381229,0.244400416196016,0.00151459361506069,29.3201617369838,0.315800889987766,31.5800889987766,0.297531563983304
"107",10,2016,32524227732.0011,1782205.14900003,236600155.999999,214554652.999993,38164653.0000007,0.177878468,0.16130442872574,0.00117342226584061,21.4142872504966,-0.258213858466404,-25.8213858466404,-0.269639525095624
"108",10,2017,38849810447.9998,1799319.74800001,308282385.000008,275282384.999998,42677884.9999987,0.155033113,0.138437637298017,0.00109853521826375,23.7188999050537,0.118256859298522,11.8256859298522,0.107620329717194
"109",10,2018,37084642082.9985,1815965.99999991,297590469.999998,236003270.000001,44562199.9999993,0.188820265,0.149743370478227,0.00120163489512088,24.5391158204512,0.0441520239346588,4.41520239346589,0.0345806896053674
"110",10,2019,36761816357.9984,1852951.99999995,335650592.00001,258402421.000006,48044685.0000003,0.185929701,0.143138984840518,0.00130691814931356,25.9287261623623,0.0781488571031295,7.81488571031295,0.0566283786293965
"111",11,2009,48005695902.9979,5367860.00000025,328851581.99999,315279204.067784,56497656.4172608,0.278585654513097,0.171802902919477,0.00117689485288208,10.5251732379865,NA,NA,NA
"112",11,2010,48464596474.0019,5486371.99999976,327973199.000003,327229554.826039,80729872.5271692,0.308829893958998,0.24614777296839,0.00166574940060577,14.7146187912837,0.428906571468071,42.8906571468071,0.398040531834388
"113",11,2011,54474415702.0013,5559833.00000026,475249722.999995,441016207.36664,83927201.2800884,0.327152579838187,0.176596002519057,0.00154067189521053,15.0952737753246,0.0396052743901353,3.96052743901354,0.0258691706146284
